sv_id	category	etiology	main_effect
SV1	HR deficiency	Long tandem duplications (100Kb-10Mb), associated with HR deficiency	Breast, ovarian, uterine
SV2	Unknown	Deletions across multiple size ranges	Various
SV3	HR deficiency	Deletions associated with HR deficiency (linked to SBS3, DBS13, ID6)	Bladder, breast, ovarian, uterine
SV4	Chromothripsis	Clustered complex translocations (chromothripsis)	Various
SV5	HR deficiency	Deletions associated with HR deficiency	Breast, ovarian
SV6	Chromothripsis	Large complex rearrangements including deletions, duplications and inversions (chromothripsis)	Various
SV7	Unknown	Non-clustered deletions	Various
SV8	Unknown	Unknown (mixed SV types)	Various
SV9	Chromothripsis	Clustered complex rearrangements (chromothripsis-related)	Various
SV10	Unknown	Unknown (composite of tandem duplications and deletions)	Various
SV11	Unknown	Unknown	Various
SV12	Unknown	Short and long inversions	Lung, kidney, mesothelioma, pancreatic, bile duct
