primary_site (Reference: ICD-O code),primary_site,ICD-O code
Accessory sinuses (Reference: ICD-O C31),Accessory sinuses,C31
Adrenal gland (Reference: ICD-O C74),Adrenal gland,C74
Anus and anal canal (Reference: ICD-O C21),Anus and anal canal,C21
Base of tongue (Reference: ICD-O C01),Base of tongue,C01
Bladder (Reference: ICD-O C67),Bladder,C67
"Bones, joints and articular cartilage of limbs (Reference: ICD-O C40)","Bones, joints and articular cartilage of limbs",C40
"Bones, joints and articular cartilage of other and unspecified sites (Reference: ICD-O C41)","Bones, joints and articular cartilage of other and unspecified sites",C41
Brain (Reference: ICD-O C71),Brain,C71
Breast (Reference: ICD-O C50),Breast,C50
Bronchus and lung (Reference: ICD-O C34),Bronchus and lung,C34
Cervix uteri (Reference: ICD-O C53),Cervix uteri,C53
Colon (Reference: ICD-O C18),Colon,C18
"Connective, subcutaneous and other soft tissues (Reference: ICD-O C49)","Connective, subcutaneous and other soft tissues",C49
Corpus uteri (Reference: ICD-O C54),Corpus uteri,C54
Esophagus (Reference: ICD-O C15),Esophagus,C15
Eye and adnexa (Reference: ICD-O C69),Eye and adnexa,C69
Floor of mouth (Reference: ICD-O C04),Floor of mouth,C04
Gallbladder (Reference: ICD-O C23),Gallbladder,C23
Gum (Reference: ICD-O C03),Gum,C03
"Heart, mediastinum, and pleura (Reference: ICD-O C38)","Heart, mediastinum, and pleura",C38
Hematopoietic and reticuloendothelial systems (Reference: ICD-O C42),Hematopoietic and reticuloendothelial systems,C42
Hypopharynx (Reference: ICD-O C13),Hypopharynx,C13
Kidney (Reference: ICD-O C64),Kidney,C64
Larynx (Reference: ICD-O C32),Larynx,C32
Lip (Reference: ICD-O C00),Lip,C00
Liver and intrahepatic bile ducts (Reference: ICD-O C22),Liver and intrahepatic bile ducts,C22
Lymph nodes (Reference: ICD-O C77),Lymph nodes,C77
Meninges (Reference: ICD-O C70),Meninges,C70
Nasal cavity and middle ear (Reference: ICD-O C30),Nasal cavity and middle ear,C30
Nasopharynx (Reference: ICD-O C11),Nasopharynx,C11
Oropharynx (Reference: ICD-O C10),Oropharynx,C10
Other and ill-defined digestive organs (Reference: ICD-O C26),Other and ill-defined digestive organs,C26
Other and ill-defined sites (Reference: ICD-O C76),Other and ill-defined sites,C76
"Other and ill-defined sites in lip, oral cavity and pharynx (Reference: ICD-O C14)","Other and ill-defined sites in lip, oral cavity and pharynx",C14
Other and ill-defined sites within respiratory system and intrathoracic organs (Reference: ICD-O C39),Other and ill-defined sites within respiratory system and intrathoracic organs,C39
Other and unspecified female genital organs (Reference: ICD-O C57),Other and unspecified female genital organs,C57
Other and unspecified major salivary glands (Reference: ICD-O C08),Other and unspecified major salivary glands,C08
Other and unspecified male genital organs (Reference: ICD-O C63),Other and unspecified male genital organs,C63
Other and unspecified parts of biliary tract (Reference: ICD-O C24),Other and unspecified parts of biliary tract,C24
Other and unspecified parts of mouth (Reference: ICD-O C06),Other and unspecified parts of mouth,C06
Other and unspecified parts of tongue (Reference: ICD-O C02),Other and unspecified parts of tongue,C02
Other and unspecified urinary organs (Reference: ICD-O C68),Other and unspecified urinary organs,C68
Other endocrine glands and related structures (Reference: ICD-O C75),Other endocrine glands and related structures,C75
Ovary (Reference: ICD-O C56),Ovary,C56
Palate (Reference: ICD-O C05),Palate,C05
Pancreas (Reference: ICD-O C25),Pancreas,C25
Parotid gland (Reference: ICD-O C07),Parotid gland,C07
Penis (Reference: ICD-O C60),Penis,C60
Peripheral nerves and autonomic nervous system (Reference: ICD-O C47),Peripheral nerves and autonomic nervous system,C47
Placenta (Reference: ICD-O C58),Placenta,C58
Prostate gland (Reference: ICD-O C61),Prostate gland,C61
Pyriform sinus (Reference: ICD-O C12),Pyriform sinus,C12
Rectosigmoid junction (Reference: ICD-O C19),Rectosigmoid junction,C19
Rectum (Reference: ICD-O C20),Rectum,C20
Renal pelvis (Reference: ICD-O C65),Renal pelvis,C65
Retroperitoneum and peritoneum (Reference: ICD-O C48),Retroperitoneum and peritoneum,C48
Skin (Reference: ICD-O C44),Skin,C44
Small intestine (Reference: ICD-O C17),Small intestine,C17
"Spinal cord, cranial nerves, and other parts of central nervous system (Reference: ICD-O C72)","Spinal cord, cranial nerves, and other parts of central nervous system",C72
Stomach (Reference: ICD-O C16),Stomach,C16
Testis (Reference: ICD-O C62),Testis,C62
Thymus (Reference: ICD-O C37),Thymus,C37
Thyroid gland (Reference: ICD-O C73),Thyroid gland,C73
Tonsil (Reference: ICD-O C09),Tonsil,C09
Trachea (Reference: ICD-O C33),Trachea,C33
Ureter (Reference: ICD-O C66),Ureter,C66
"Uterus, NOS (Reference: ICD-O C55)","Uterus, NOS",C55
Vagina (Reference: ICD-O C52),Vagina,C52
Vulva (Reference: ICD-O C51),Vulva,C51
Unknown primary site (Reference: ICD-O C80),Unknown primary site,C80
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
