specimen_tissue_source(ontology code),specimen_tissue_source,ontology code
Abdominal fluid (NCIt: C77611),Abdominal fluid,NCIt: C77611
Amniotic fluid (NCIt: C13188),Amniotic fluid,NCIt: C13188
Arterial blood (NCIt: C78729),Arterial blood,NCIt: C78729
Bile (NCIt: C13192),Bile,NCIt: C13192
Blood derived - bone marrow,Blood derived - bone marrow,
Blood derived - peripheral blood,Blood derived - peripheral blood,
Bone marrow fluid (SNOMED: 413679007),Bone marrow fluid,SNOMED: 413679007
Bone marrow derived mononuclear cells,Bone marrow derived mononuclear cells,
Buccal cell (NCIt: C172264),Buccal cell,NCIt: C172264
Buffy coat (NCIt: C84507),Buffy coat,NCIt: C84507
Cerebrospinal fluid (NCIt: C12692),Cerebrospinal fluid,NCIt: C12692
Cervical mucus (SNOMED: 26859008),Cervical mucus,SNOMED: 26859008
Convalescent plasma (NCIt: C173750),Convalescent plasma,NCIt: C173750
Cord blood (NCIt: C13300),Cord blood,NCIt: C13300
Duodenal fluid (SNOMED: 122574004),Duodenal fluid,SNOMED: 122574004
Female genital fluid (SNOMED: 50473004),Female genital fluid,SNOMED: 50473004
Fetal blood (SNOMED: 737357006),Fetal blood,SNOMED: 737357006
Hydrocele fluid (SNOMED: 725093005),Hydrocele fluid,SNOMED: 725093005
Male genital fluid (SNOMED: 23378005),Male genital fluid,SNOMED: 23378005
Other,Other,
Pancreatic fluid (SNOMED: 17387004),Pancreatic fluid,SNOMED: 17387004
Pericardial effusion (NCIt: C3319),Pericardial effusion,NCIt: C3319
Pleural fluid (NCIt: C77613),Pleural fluid,NCIt: C77613
Renal cyst fluid (SNOMED: 734111007),Renal cyst fluid,SNOMED: 734111007
Saliva (NCIt: C13275),Saliva,NCIt: C13275
Seminal fluid (NCIt: C33529),Seminal fluid,NCIt: C33529
Serum (NCIt: C13325),Serum,NCIt: C13325
Solid tissue (NCIt: C164014),Solid tissue,NCIt: C164014
Sputum (NCIt: C13278),Sputum,NCIt: C13278
Synovial fluid (NCIt: C33718),Synovial fluid,NCIt: C33718
Urine (NCIt: C13283),Urine,NCIt: C13283
Venous blood (NCIt: C78730),Venous blood,NCIt: C78730
Vitreous fluid (NCIt: C13323),Vitreous fluid,NCIt: C13323
Whole blood (NCIt: C41067),Whole blood,NCIt: C41067
Wound (SNOMED: 122566000),Wound,SNOMED: 122566000
